language,typology,PMI,DD
English,SVO,12.407013216247305,2
English,SVO,3.2096858182483574,1
English,SVO,9.947581597610007,1
English,SVO,9.947581597610007,1
English,SVO,9.947581597610007,1
English,SVO,9.947581597610007,1
English,SVO,2.6164780474318725,1
English,SVO,0.6866228714601501,1
English,SVO,5.918034015371741,1
English,SVO,3.0158293076704266,1
English,SVO,4.272016548107945,2
English,SVO,3.023718521244634,1
English,SVO,5.5413143079588965,1
English,SVO,2.993794712185767,3
English,SVO,4.5065488897982195,1
English,SVO,2.191960588129779,1
English,SVO,5.918034015371741,1
English,SVO,0.622119406728212,2
English,SVO,0.8389515455863472,1
English,SVO,3.5235553151039096,1
English,SVO,0.13747983782378795,2
English,SVO,1.8354086888225414,3
English,SVO,1.8097666908472663,1
English,SVO,3.2609831244651857,1
English,SVO,1.1932761079243377,1
English,SVO,1.9771488395063668,1
English,SVO,7.802857150292838,1
English,SVO,1.935789620278385,3
English,SVO,6.313903811855824,1
English,SVO,2.717389565705434,1
English,SVO,3.5939446429953072,4
English,SVO,2.1932761079243375,2
English,SVO,0.5600584385959604,3
English,SVO,1.6916732113610922,4
English,SVO,3.2300632056197105,1
English,SVO,5.20550187174716,1
English,SVO,5.559433816580203,1
English,SVO,5.20550187174716,3
English,SVO,2.7980807979011932,22
English,SVO,3.272016548107945,2
English,SVO,3.5235553151039096,1
English,SVO,5.9919757169684615,1
English,SVO,5.825370019473523,1
English,SVO,-3.2212098896304227,3
English,SVO,3.2864153221737866,2
English,SVO,12.407013216247305,2
English,SVO,2.717389565705434,1
English,SVO,4.272016548107945,2
English,SVO,2.4156685292607856,1
English,SVO,2.521469355730177,1
English,SVO,3.3544451654431517,2
English,SVO,1.0455080182992655,3
English,SVO,-1.4019521009695683,1
English,SVO,4.851092703339702,1
English,SVO,1.7152288111196934,1
English,SVO,2.476381466201639,1
English,SVO,4.272016548107945,1
English,SVO,1.2514711290886835,1
English,SVO,2.562111340227523,1
English,SVO,1.3225591248693043,1
English,SVO,3.484145689275966,3
English,SVO,4.421408428096457,1
English,SVO,12.407013216247305,2
English,SVO,4.272016548107945,4
English,SVO,5.602498019352483,1
English,SVO,6.814939568575126,1
English,SVO,4.087792713723435,1
English,SVO,4.144683423390101,2
English,SVO,0.8389515455863472,1
English,SVO,3.5235553151039096,1
English,SVO,2.727612535575526,1
English,SVO,3.2663727693210234,1
English,SVO,0.32849703050870427,1
English,SVO,7.802857150292838,1
English,SVO,2.4860578571521836,1
English,SVO,7.094735291393662,1
English,SVO,2.000631029981942,1
English,SVO,3.0158293076704266,1
English,SVO,2.737596624148148,1
English,SVO,1.2060031846754296,1
